Field,TCH_2018,TCH_2019,TCH_2020,TCH_2021,TCH_2022,TCH_2023,Clay_2018,Clay_2019,Clay_2020,Clay_2021,Clay_2022,Clay_2023,EC_2018,EC_2019,EC_2020,EC_2021,EC_2022,EC_2023,K_2018,K_2019,K_2020,K_2021,K_2022,K_2023,OM_2018,OM_2019,OM_2020,OM_2021,OM_2022,OM_2023,P2O5_2018,P2O5_2019,P2O5_2020,P2O5_2021,P2O5_2022,P2O5_2023,Sand_2018,Sand_2019,Sand_2020,Sand_2021,Sand_2022,Sand_2023,Silt_2018,Silt_2019,Silt_2020,Silt_2021,Silt_2022,Silt_2023,pH_2018,pH_2019,pH_2020,pH_2021,pH_2022,pH_2023
5161,95.74,81.95857142857143,81.95857142857143,81.95857142857143,81.95857142857143,81.95857142857143,17.0,17.0,17.0,17.0,17.0,17.0,90.33333333333331,90.33333333333331,90.33333333333331,90.33333333333331,90.33333333333331,90.33333333333331,141.36666666666667,141.36666666666667,141.36666666666667,141.36666666666667,141.36666666666667,141.36666666666667,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,50.64652829052554,50.64652829052554,50.64652829052554,50.64652829052554,50.64652829052554,50.64652829052554,69.0,69.0,69.0,69.0,69.0,69.0,14.0,14.0,14.0,14.0,14.0,14.0,6.786666666666666,6.786666666666666,6.786666666666666,6.786666666666666,6.786666666666666,6.786666666666666
5162,59.52380952380952,59.52380952380952,59.52380952380952,59.52380952380952,59.52380952380952,59.52380952380952,17.0,17.0,17.0,17.0,17.0,17.0,22.33333333333333,22.33333333333333,22.33333333333333,22.33333333333333,22.33333333333333,22.33333333333333,70.06666666666666,70.06666666666666,70.06666666666666,70.06666666666666,70.06666666666666,70.06666666666666,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,43.74581460454737,43.74581460454737,43.74581460454737,43.74581460454737,43.74581460454737,43.74581460454737,69.0,69.0,69.0,69.0,69.0,69.0,14.0,14.0,14.0,14.0,14.0,14.0,6.25,6.25,6.25,6.25,6.25,6.25
5168,117.94,118.58135593220338,84.96271186440677,85.77889447236181,97.86934673366834,105.82579564489112,16.0,16.0,16.0,16.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,0.542635897435897,0.542635897435897,0.542635897435897,0.542635897435897,0.542635897435897,0.542635897435897,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,31.523,31.523,31.523,31.523,31.523,31.523,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,6.7,6.7,6.7,6.7,6.7,6.7
5169,145.23,129.23464285714286,113.23928571428571,113.23928571428571,113.23928571428571,113.23928571428571,17.846,17.3845,16.923000000000002,16.4615,16.0,16.0,15.0,24.0,33.0,42.0,51.0,51.0,0.175641025641026,0.3431820512820515,0.510723076923077,0.6782641025641025,0.845805128205128,0.845805128205128,1.5528,1.598151975,1.64350395,1.688855925,1.7342079,1.7342079,28.7956204379562,92.58221532846716,156.3688102189781,220.15540510948904,283.942,283.942,70.0,70.25,70.5,70.75,71.0,71.0,12.0,12.25,12.5,12.75,13.0,13.0,5.51,5.9575,6.404999999999999,6.8525,7.3,7.3
5170,79.79,79.79,79.79,79.79,79.79,79.79,19.0,19.0,11.0,17.568,16.0,16.0,63.0,63.0,17.0,63.0,16.0,16.0,111.4,111.4,83.5,0.531794871794872,0.208974358974359,0.208974358974359,1.48768545,1.48768545,0.9059295,1.6306731,1.7342079,1.7342079,27.3787216323131,27.3787216323131,20.697796432319,34.7015039726,37.1213733957789,37.1213733957789,63.0,63.0,81.0,68.432,71.0,71.0,18.0,18.0,8.0,14.212,13.0,13.0,6.62,6.62,5.16,6.82,6.56,6.56
5171,89.84962406015038,89.84962406015038,89.84962406015038,89.84962406015038,89.84962406015038,89.84962406015038,17.0,17.0,17.0,17.0,17.0,17.0,63.333333333333336,63.333333333333336,63.333333333333336,63.333333333333336,63.333333333333336,63.333333333333336,113.83333333333331,113.83333333333331,113.83333333333331,113.83333333333331,113.83333333333331,113.83333333333331,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,46.04605249987344,46.04605249987344,46.04605249987344,46.04605249987344,46.04605249987344,46.04605249987344,69.0,69.0,69.0,69.0,69.0,69.0,14.0,14.0,14.0,14.0,14.0,14.0,6.413333333333334,6.413333333333334,6.413333333333334,6.413333333333334,6.413333333333334,6.413333333333334
5179,83.46,83.46,83.46,83.46,83.46,83.46,9.0,17.0,17.0,17.0,17.0,17.0,38.5,88.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333,88.33333333333333,0.4187179487179485,147.4,147.4,147.4,147.4,147.4,0.78,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,48.0,43.285767025482166,43.285767025482166,43.285767025482166,43.285767025482166,43.285767025482166,88.0,69.0,69.0,69.0,69.0,69.0,4.0,14.0,14.0,14.0,14.0,14.0,6.395,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333,6.453333333333333
5180,83.04,83.04,83.04,83.04,83.04,83.04,17.0,17.0,17.0,17.0,17.0,17.0,113.66666666666669,113.66666666666669,113.66666666666669,113.66666666666669,113.66666666666669,113.66666666666669,74.10000000000001,74.10000000000001,74.10000000000001,74.10000000000001,74.10000000000001,74.10000000000001,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,1.48768545,43.285767025482166,43.285767025482166,43.285767025482166,43.285767025482166,43.285767025482166,43.285767025482166,69.0,69.0,69.0,69.0,69.0,69.0,14.0,14.0,14.0,14.0,14.0,14.0,6.323333333333333,6.323333333333333,6.323333333333333,6.323333333333333,6.323333333333333,6.323333333333333
5192,132.75047619047618,148.84,99.89714285714284,81.53059866962306,79.6430155210643,124.3072625698324,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,0.251538461538462,0.251538461538462,0.251538461538462,0.251538461538462,0.251538461538462,0.251538461538462,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,1.7342079,50.6217626447288,50.6217626447288,50.6217626447288,50.6217626447288,50.6217626447288,50.6217626447288,71.0,71.0,71.0,71.0,71.0,71.0,13.0,13.0,13.0,13.0,13.0,13.0,5.97,5.97,5.97,5.97,5.97,5.97
5203,126.88,126.88,126.88,126.88,126.88,126.88,16.0,13.5,11.0,17.568,16.0,16.0,29.0,34.0,39.0,26.0,36.0,37.0,0.273589743589744,58.28679487179488,116.3,0.38025641025641,0.33974358974359,0.422935897435897,1.5528,1.64350395,1.7342079,1.8377427,1.7342079,1.7342079,34.6271329260586,29.12258661868685,23.6180403113151,42.1419324726895,21.7003306717055,18.794,74.0,75.5,77.0,68.432,71.0,71.0,10.0,11.0,12.0,14.212,13.0,13.0,6.22,6.54,6.86,6.79,6.99,7.3
