,Area,Section,Field,Var,Cat,Age,Ha,T/Cane,TCH,TCHM,Month Cut,Year,Date Cut
,3,62,6224,NCo376,2,10.32,2,12,6.0,0.5813953488372093,August,1996.0,17/08/1996
,2,18,1805,NCo376,2,10.35,15.4,1779.008,115.52,11.16135265700483,December,1996.0,09/12/1996
,3,65,6533,NCo376,3,10.35,9.2,1075.0199999999998,116.84999999999998,11.289855072463766,August,1996.0,24/08/1996
,2,15,1525,NCo376,2,10.42,16.4,969.076,59.09,5.6708253358925145,September,1996.0,10/09/1996
,3,61,6115,NCo376,2,10.42,14.7,1047.963,71.29,6.84165067178503,October,1996.0,09/10/1996
,1,6,0642,NCo376,2,10.45,10.8,1018.0080000000002,94.26,9.020095693779906,July,1996.0,23/07/1996
,2,19,1919,NCo376,2,10.48,22,3595.8999999999996,163.45,15.596374045801525,April,1996.0,05/03/1996
,1,22,2215,NCo376,2,10.52,14,1373.96,98.14,9.328897338403042,December,1996.0,09/12/1996
,3,63,6324,NCo376,2,10.52,14.8,1559.0320000000002,105.34,10.013307984790876,June,1996.0,15/06/1996
,3,65,6535,NCo376,3,10.52,10.1,995.961,98.61,9.373574144486692,August,1996.0,14/08/1996
,1,3,0309,NCo376,2,10.55,7.1,804.9979999999999,113.38,10.74691943127962,June,1996.0,10/06/1996
,1,6,0657,NCo376,2,10.55,19.9,2149.996,108.04,10.240758293838862,June,1996.0,19/06/1996
,3,64,6406,NCo376,1,10.58,14,854.98,61.07,5.772211720226843,October,1996.0,28/10/1996
,2,11,1127,NCo376,2,10.61,15.4,1596.056,103.64,9.768143261074458,July,1996.0,16/07/1996
,2,18,1848,NCo376,3,10.61,22.9,1905.9669999999999,83.23,7.844486333647503,August,1996.0,28/08/1996
,1,3,0321,NCo376,2,10.65,12.4,900.984,72.66,6.822535211267605,October,1996.0,01/10/1996
,1,1,0113,NCo376,2,10.68,25.5,2104.005,82.51,7.725655430711611,August,1996.0,20/08/1996
,3,63,6318,NCo376,2,10.68,7.9,741.9680000000001,93.92,8.794007490636705,May,1996.0,10/05/1996
,3,63,6326,NCo376,2,10.68,10.6,1110.9859999999999,104.80999999999999,9.813670411985019,May,1996.0,16/05/1996
,1,3,0308,NCo376,2,10.75,7.1,843.977,118.87,11.057674418604652,July,1996.0,09/07/1996
,3,64,6426,NCo376,1,10.75,12.9,793.995,61.55,5.725581395348837,October,1996.0,09/10/1996
